Bank Ticker,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC
Stock Info,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-05,29.7463,30.111,29.6823,29.8843,55765513,68.3489,69.0722,68.183,68.4952,16120720,250.7341,254.1823,249.6503,252.0247,1924810,109.3663,110.542,109.1312,109.6113,16627035,52.8912,54.0424,52.8355,53.5253,9968216,51.6666,52.2672,51.3857,51.5891,16488760
2018-04-06,29.5788,29.8548,28.948,29.2042,79687623,67.8124,68.5635,66.2566,66.915,21543535,247.7588,251.5616,243.0298,246.2711,3621939,108.3083,109.288,105.6336,106.8779,18906018,52.7936,53.1936,51.213,51.7496,9578541,50.9983,51.2598,50.3306,50.5914,22943843
2018-04-09,29.3915,30.1849,29.3324,29.4408,65917535,67.3637,69.2024,67.2954,67.7343,17036536,247.7588,253.6897,245.4829,248.4582,3256691,107.7792,110.689,107.6616,108.1613,15974349,52.2862,53.3009,51.974,52.0521,8111578,50.853,51.6569,50.5236,50.6108,17031957
2018-04-10,30.042,30.1406,29.7956,30.042,60686336,69.3048,69.4901,68.5635,68.7781,16098842,254.1429,256.0443,252.1626,252.7734,3314641,109.8562,110.5812,109.1606,110.2285,14003640,52.8033,53.2131,52.257,52.8229,9286609,51.3276,51.3954,50.4849,50.9692,14662807
2018-04-11,29.7168,29.8055,29.4605,29.4704,62211487,68.2513,68.8633,67.8416,68.1733,15645520,248.8523,251.0592,246.0938,249.1972,3321982,109.3957,109.5427,108.274,108.3768,14503294,51.6618,52.1789,51.3301,51.4569,12121199,50.6786,50.8239,50.0974,50.3009,14673150
2018-04-12,29.7858,30.3574,29.7316,30.2096,57989106,68.739,70.7192,68.739,70.3583,24488085,252.4779,256.8719,251.335,255.7488,3059104,109.2978,112.0704,109.239,111.0711,16435523,52.0326,52.979,52.0033,52.5399,9315161,50.5236,51.5988,50.3977,51.0467,19967755
2018-04-13,30.6827,30.7221,29.1352,29.3718,99254533,71.4117,71.5776,68.1148,69.2658,31356016,258.064,258.6147,250.7735,252.1331,3026173,112.6876,112.815,106.8387,108.0633,39152760,53.4083,53.5449,51.4667,51.6911,12364035,50.3783,50.6592,49.216,49.2935,32054903
2018-04-16,29.6478,29.9336,29.0465,29.4999,110588918,69.3438,69.5877,68.0465,68.3489,18877025,253.3252,256.8029,252.8621,254.0641,3257417,108.6903,109.2096,107.5637,107.9751,16580538,52.1399,52.6375,52.0423,52.1009,7282233,49.0029,49.7245,48.7317,49.2063,31879064
2018-04-17,29.7365,29.9336,29.4506,29.6084,83475898,68.9146,69.1829,67.7636,68.027,18233370,257.729,258.3694,248.606,249.8769,10134395,109.1116,109.6505,107.7596,107.9751,15501350,52.696,52.7838,51.4862,51.9448,14505328,49.3516,49.555,48.906,48.9835,25507078
2018-04-18,29.5985,29.7858,29.0761,29.1057,79743217,68.0953,68.6317,67.1588,67.2856,15382852,251.1281,253.2168,248.5174,250.2415,4524761,108.2887,108.8177,106.6819,107.1032,16081436,52.5985,53.6619,51.6423,51.9643,17524005,49.1869,49.371,48.6832,48.8092,21055691
